id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url
1467485469030051841,471048484.0,"untuk memperbaiki mental ini yg terombang-ambing kenapa harus tetap masuk disaat kami butuh liburan. kalian kan belum tentu ngasih uang ke kami, cukuplah istirahat di rumah udah liburan bagi kami para pekerja maupun siswa/i.. kami manusia bukan robot.",2021-12-05T13:26:15.000Z,471048484,0,1,0,0,1.4674854657123328e+18,replied_to,,,,,,,,,,,,,,,,,,,
1467484377735053313,,"Sumpah, demi apapun iya anjing, capek. Motivasi darimana coba pak, nggak ngasih libur semester sama akhir tahun? Cukup gua sama dia yang gak jelas, kalo soal liburan gua butuh kejelasan anjing 🙏🏻🙏🏻 https://t.co/Tc94IYyfcX",2021-12-05T13:21:54.000Z,1430847184006647809,0,0,0,0,1.4673418730354196e+18,quoted,,,,198.0,221.0,https://t.co/Tc94IYyfcX,https://twitter.com/schfess/status/1467341873035419648,twitter.com/schfess/status…,,,,,,,,,,,
1467484057592205312,,"gak bisa fokus ngerjain kerjaan,. hadeh

butuh liburan jalan-jalan tapi kalo libur malah cuma tiduran nonton film hadeh",2021-12-05T13:20:38.000Z,867585619454599170,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467482446178492417,,"Kepada kampus saya, jangan ikut2an anak sekolah gada libur ye! Saya udh tingkat akhir butuh refreshing anjrit, dikata skripsian gabutuh istirahat skskksk, udah pokoknya libur aja. Biar dosbing saya liburan jg wkwk😋👍",2021-12-05T13:14:14.000Z,1337300198268100617,0,1,2,0,,,,,,,,,,,,,,,,,,,,,
1467481095327211525,,sudah mulai tampak jiwa-jiwa yg butuh liburan.,2021-12-05T13:08:52.000Z,1157539414882435073,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1467476179372306436,26970305.0,@radenrauf Butuh liburan yg panjang!,2021-12-05T12:49:20.000Z,1245267555339517952,0,0,0,0,1.467452113772974e+18,replied_to,,,,,,,,,0.0,10.0,radenrauf,26970305.0,,,,,,,
1467474846841913345,,"Sumpah butuh liburan banget, buat leha-leha biar ga stress nugas terus 😭😭😭😭😭 https://t.co/qdAjptdZCA",2021-12-05T12:44:02.000Z,1148632670538125312,0,0,0,0,1.4674470521246515e+18,quoted,,,,77.0,100.0,https://t.co/qdAjptdZCA,https://twitter.com/collegemenfess/status/1467447052124651523,twitter.com/collegemenfess…,,,,,,,,,,,
1467473525367656451,,"Anj besok dah senin aja,gw butuh liburan
Minim 2 minggu lah🤣",2021-12-05T12:38:47.000Z,1352137057661984770,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1467470671613935629,,"Butuh tiket pesawat untuk mudik, liburan atau keperluan lainnya? hubungi Gemurai Tour &amp; Travel",2021-12-05T12:27:27.000Z,410168277,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467470300904235008,,"Sekarep mu ae lah
Dah nggak paham sama peraturan sekarang
Kita juga butuh liburan anjr😭 mau pulkam ini gak bisa
Butuh istirahat, bukan yang jalan2 gitu
Yang betol ae napa lah https://t.co/Myw0U8AylY",2021-12-05T12:25:58.000Z,1220276468292317184,0,0,0,0,1.4674470521246515e+18,quoted,,,,175.0,198.0,https://t.co/Myw0U8AylY,https://twitter.com/collegemenfess/status/1467447052124651523,twitter.com/collegemenfess…,,,,,,,,,,,
