id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url,entities/cashtags/0/entities/start,entities/cashtags/0/entities/end,entities/cashtags/0/entities/tag
1467117722064490497,1.227719379103572e+18,@sutanmangarahrp Kiamat Dunia bila para dajal menguasai NKRI,2021-12-04T13:04:57.000Z,586015820,2,0,3,0,1.4666858043238932e+18,replied_to,,,,,,0.0,16.0,sutanmangarahrp,1.227719379103572e+18,,,,,,,,,,,,,
1467115760002629632,,me and my mother's objectives are really just like raja api ozai's (re: menguasai dunia) (re: dunia = rumah) (re: gamau kalah),2021-12-04T12:57:09.000Z,1314935404844339201,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1467114943866494978,1.4011563473248952e+18,@hakku_me kirain terus jadi secret society gitu. berencana menguasai dunia.,2021-12-04T12:53:54.000Z,1160212264391102464,0,1,2,0,1.467113511868252e+18,replied_to,,,,,,0.0,9.0,hakku_me,1.4011563473248952e+18,,,,,,,,,,,,,
1467108349665628166,1.314975287294083e+18,@convomf Aku bakal menguasai dunia sblm ajal menjemput,2021-12-04T12:27:42.000Z,1359086165912027137,0,3,15,1,1.4671026597987123e+18,replied_to,,,,,,0.0,8.0,convomf,1.314975287294083e+18,,,,,,,,,,,,,
1467102704908439552,1.316441034117718e+18,@txtdarigajelas Ras kucing udh makin terang-terangan menyebarkan sektenya. Ga lama lagii mreka bakal menguasai dunia wkwk,2021-12-04T12:05:16.000Z,1329896585849761792,0,0,1,0,1.4670948936002478e+18,replied_to,,,,,,0.0,15.0,txtdarigajelas,1.316441034117718e+18,,,,,,,,,,,,,
1467102072675844100,1.159689173340586e+18,@__AnakKolong @budimandjatmiko Akhirnya robot menguasai dunia Mirip film terminator 😁,2021-12-04T12:02:46.000Z,1437743321066049540,1,0,1,0,1.4671013831951852e+18,replied_to,,,,,,14.0,30.0,budimandjatmiko,183217247.0,,,,,,,,,,,,,
1467101619003150337,237363430.0,"G20 adalah representasi perekonomian dunia karena negara-negara G20 ini menguasai 85% PDB dunia, 80% investasi global, 75% perdagangan dunia, dan 66% populasi dunia. Wow... #TuanRumahG20",2021-12-04T12:00:58.000Z,237363430,0,1,0,0,1.467101054034608e+18,replied_to,,,,,,,,,,173.0,186.0,TuanRumahG20,,,,,,,,,,
1467101188092878849,,Tahta kucing oreng bakal lengser setelah kucing abu menguasai perairan dunia hahahahahhaha https://t.co/O6w4pUas6q,2021-12-04T11:59:15.000Z,1429983495170924553,0,1,0,0,,,91.0,114.0,https://t.co/O6w4pUas6q,https://twitter.com/yorchyongsop/status/1467101188092878849/video/1,pic.twitter.com/O6w4pUas6q,,,,,,,,,,,,,,,,,
1467097614063595522,,"fwb - yg di malang, sini ngopi bareng sambil merencanakan menguasai dunia. m30an https://t.co/qWMnBulYHz",2021-12-04T11:45:03.000Z,1298908543618183169,0,2,1,0,,,81.0,104.0,https://t.co/qWMnBulYHz,https://twitter.com/FWBESS/status/1467097614063595522/photo/1,pic.twitter.com/qWMnBulYHz,,,,,,,,,,,,,,,,,
1467097601438728197,,"uwow - yg di malang, sini ngopi bareng sambil merencanakan menguasai dunia. m30an https://t.co/4luwwUqxA3",2021-12-04T11:45:00.000Z,1409495941640462339,0,1,0,0,,,82.0,105.0,https://t.co/4luwwUqxA3,https://twitter.com/uwowbase_/status/1467097601438728197/photo/1,pic.twitter.com/4luwwUqxA3,,,,,,,,,,,,,,,,,
1467096673432190976,280500568.0,"Karena Forum G-20 merupakan ”The Only Global Premier Economic Forum” yang menjadi representasi perekonomian dunia.
Soalnyakan negara-negara yang tergabung di dalamnya menguasai 85 persen dari PDB dunia. Luar biasa yaks..  #TuanRumahG20",2021-12-04T11:41:18.000Z,280500568,1,1,3,0,1.4670962158629233e+18,replied_to,,,,,,,,,,222.0,235.0,TuanRumahG20,,,,,,,,,,
1467094560320806912,255866913.0,"@hariankompas @DoniKleden Iblis menguasai dunia, manusia tak sadar diperalat",2021-12-04T11:32:55.000Z,566014930,0,0,0,0,1.4670862774598203e+18,replied_to,,,,,,14.0,25.0,DoniKleden,2256416420.0,,,,,,,,,,,,,
1467082065149509632,,letsgo dreamies menguasai dunia BISMILLAH TEMAN TEMAN SEMOGA SEMAKIN SUKSES https://t.co/A1sbyMlB7u,2021-12-04T10:43:16.000Z,1292706124198629376,0,0,0,0,1.4670706666002511e+18,quoted,76.0,99.0,https://t.co/A1sbyMlB7u,https://twitter.com/renminbar/status/1467070666600251392,twitter.com/renminbar/stat…,,,,,,,,,,,,,,,,,
1467081166167543808,500705112.0,@Mpok_Hanum @mixmaxerz @HendiSTR @ahdagusti @himkyoyeon @buritamm @Fairypatty2 @kevinjeyS @brothermift @camilawillem @dudwrn @lilacundergreen @convomf NGAKAK BGTT WKWKWK. Sumpahh jangan lahh. Nanti mereka bikin rencana jahat buat menguasai dunia:(,2021-12-04T10:39:41.000Z,1156214070426554369,0,1,0,0,1.4670714877648855e+18,replied_to,,,,,,142.0,150.0,convomf,1.314975287294083e+18,,,,,,,,,,,,,
